video,video_id,sample_id,move_idx,frame_idx,stance_label,ankle_dist_sw,hip_offset_x,hip_offset_y,knee_angle_left,knee_angle_right,foot_angle_left,foot_angle_right,hip_behind_feet,knee_angle_diff
8yang_001.csv,8yang_001,8yang_001,1,46,dwit_kubi,0.7734638418884665,0.00012892484664916992,-0.1698015332221985,179.01940438773022,179.9450575810946,21.053016662597656,140.49063110351562,0.0,0.9256531933643828
8yang_001.csv,8yang_001,8yang_001,2,76,ap_kubi,0.7958707972325179,0.0003573894500732422,-0.171095609664917,178.88153004845137,179.1765547274155,32.867645263671875,130.94744873046875,0.0,0.29502467896412554
8yang_001.csv,8yang_001,8yang_001,3,163,ap_kubi,1.4673484405284458,-0.002660393714904785,-0.15993928909301758,178.96103202856028,172.25895288306782,72.48229217529297,156.42669677734375,0.0,6.702079145492462
8yang_001.csv,8yang_001,8yang_001,4,206,dwit_kubi,0.49396319123048005,0.0011247694492340088,-0.14557933807373047,176.80499870020773,179.51094034287468,88.70539855957031,126.64910125732422,0.0,2.705941642666943
8yang_001.csv,8yang_001,8yang_001,5,219,ap_kubi,3.082066714769557,-0.0006795823574066162,-0.13764417171478271,177.86619028414182,130.94222626083587,87.67536926269531,92.00920104980469,0.0,46.923964023305956
8yang_001.csv,8yang_001,8yang_001,6,231,dwit_kubi,8.582318029283211,0.00043842196464538574,-0.022608280181884766,176.61999853855056,170.2026990381092,-93.42754364013672,151.29397583007812,0.0,6.4172995004413735
8yang_001.csv,8yang_001,8yang_001,7,247,ap_kubi,2.035650100139921,0.005533963441848755,-0.16924232244491577,179.80725365218802,176.22461518651392,114.99858093261719,134.44583129882812,0.0,3.5826384656741084
8yang_001.csv,8yang_001,8yang_001,8,262,dwit_kubi,0.8590722571244691,-0.00046890974044799805,-0.1884494423866272,179.93855751077868,169.86915308538832,94.07943725585938,134.46475219726562,0.0,10.06940442539036
8yang_001.csv,8yang_001,8yang_001,9,282,ap_kubi,0.6418517447469863,0.0018253922462463379,-0.1767551302909851,179.43563333422946,174.35443780464686,83.93599700927734,125.19756317138672,0.0,5.081195529582601
8yang_001.csv,8yang_001,8yang_001,10,319,beom_seogi,0.6594049926803558,0.009625434875488281,-0.2294076681137085,172.80917395235616,179.51959084584524,74.81452178955078,72.73551177978516,0.0,6.710416893489082
8yang_001.csv,8yang_001,8yang_001,11,347,ap_kubi,0.46369412125340936,-0.015885889530181885,-0.21762382984161377,163.25346466602753,143.69518074050842,-18.392885208129883,7.262679100036621,0.0,19.558283925519106
8yang_001.csv,8yang_001,8yang_001,12,366,beom_seogi,2.5340075210443826,0.02593401074409485,-0.22815728187561035,179.23436713757448,153.28475549316164,-47.145023345947266,6.347998142242432,0.0,25.94961164441284
8yang_001.csv,8yang_001,8yang_001,13,504,ap_kubi,7.711568664605003,-0.026306122541427612,-0.22437036037445068,137.6140083015091,176.88522292855023,179.89073181152344,-163.71551513671875,0.0,39.27121462704113
8yang_001.csv,8yang_001,8yang_001,14,645,dwit_kubi,1.9958498442045132,0.039642512798309326,-0.25341588258743286,174.74325038032697,171.2070875390256,-172.5308380126953,-42.66070556640625,0.0,3.536162841301376
8yang_001.csv,8yang_001,8yang_001,15,666,ap_kubi,1.4089312637109428,-0.01673513650894165,-0.22739899158477783,172.82835836399838,154.34993240944283,78.59004974365234,64.90148162841797,0.0,18.478425954555547
8yang_001.csv,8yang_001,8yang_001,16,676,dwit_kubi,2.5202356086789774,-0.027880072593688965,-0.22282838821411133,147.59480286576604,179.43424163200012,-172.7859649658203,-150.15098571777344,0.0,31.839438766234082
8yang_001.csv,8yang_001,8yang_001,17,851,ap_kubi,14.68495775498314,0.02588587999343872,-0.2202545404434204,168.9458878416696,141.41203708466819,-11.721463203430176,-4.328197002410889,0.0,27.533850757001403
8yang_001.csv,8yang_001,8yang_001,18,917,ap_kubi,75.12944262325175,0.02805793285369873,-0.22098511457443237,167.29570565240422,143.19644375097053,-7.724212646484375,-3.3945486545562744,0.0,24.099261901433692
8yang_001.csv,8yang_001,8yang_001,19,955,dwit_kubi,2.2185456941217425,-0.022382378578186035,-0.24091124534606934,177.18801828311874,175.2927839812692,-101.69307708740234,22.182174682617188,0.0,1.8952343018495412
8yang_001.csv,8yang_001,8yang_001,20,978,ap_kubi,0.5271753743540852,-0.006345868110656738,-0.23410248756408691,175.35052223727624,158.48609802220489,90.96681213378906,151.08192443847656,0.0,16.864424215071352
8yang_001.csv,8yang_001,8yang_001,21,984,ap_kubi,0.6192485354985385,-0.010679244995117188,-0.22710829973220825,178.46208750021472,162.2225800968187,81.27632141113281,142.3878173828125,0.0,16.239507403396033
8yang_001.csv,8yang_001,8yang_001,22,1004,dwit_kubi,0.7646609418787067,-0.0018676519393920898,-0.21912497282028198,179.2324572580625,174.61714747649967,76.986328125,138.0538787841797,0.0,4.615309781562843
8yang_001.csv,8yang_001,8yang_001,23,1018,ap_kubi,0.5231294756165581,0.009036719799041748,-0.25382769107818604,175.89872230801626,174.94635242362983,72.05181121826172,112.07022857666016,0.0,0.9523698843864281
8yang_001.csv,8yang_001,8yang_001,24,1042,ap_kubi,2.1430083178091763,0.010282158851623535,-0.21876943111419678,174.7280237723509,176.83126323839556,32.76486587524414,87.82310485839844,0.0,2.10323946604467
8yang_002.csv,8yang_002,8yang_002,1,255,dwit_kubi,1.9654698335197809,-0.006250858306884766,-0.2917935848236084,144.2926513568286,155.05870939179871,-64.15819549560547,0.0,0.0,10.766058034970115
